0;1;2?ParameterNavn;3Energi (kJ);4Energi (kcal);5Protein;6Protein fra Aminosyrer;7Protein, 8deklaration;9Kulhydrat difference;10Tilg�ngelig kulhydrat;11Tilg�ngelig kulhydrat, deklaration;12Kostfibre;13Fedt;14Alkohol;15Salt deklaration;16Aske;17T�rstof;18Vand;19A-vitamin;20Retinol;21beta-Caroten;22D-vitamin;23D3-vitamin;24D2-vitamin;25 25-hydroxy D3-vitamin;26 25-hydroxy D2-vitamin;27E-vitamin;28alfa-Tokoferol;29beta-Tokoferol;30gamma-Tokoferol;31delta-Tokoferol;32alfa-Tokotrienol;33K1-vitamin;34Thiamin (B1-vitamin);35Thiamin;36 2-(1-hydroxyethyl)thiamin;37Riboflavin (B2-vitamin);38Niacin�kvivalent;39Niacin;40B6-vitamin;41Pantothensyre;42Biotin;43Folat;44Frit folat;45B12-vitamin;46C-vitamin;47Ascorbinsyre;48Dehydroascorbinsyre;49Natrium;50Kalium;51Calcium;52Magnesium;Rubidium;Jern;Kobber;Zink;Mangan;Krom;Molybd�n;Cobolt;Selenium;Aluminium;Silicium;Bor;Fosfor;Fluor;Chlorid;Brom;Jod;Svovl;Nikkel;Kviks�lv;Arsen;Cadmium;Bly;Tin;Fruktose;Galaktose;Glukose;Sum monosakkarider;Laktose;Maltose;Sakkarose;Sum disakkarider;Maltotriose;Raffinose;Sum sukkerarter;Tilsat Sukker;Frie sukkerarter;Sorbitol;Mannitol;Inositol;Maltitol;Sum sukkeralkoholer;Stivelse;Cellulose;Lignin;Uopl�selige kostfibre;H�j molekylev�gt opl�selige kostfibre;Lav molekylev�gt opl�selige kostfibre;Crude fibre;Neutral detergent fibre;L-m�lkesyre;D-m�lkesyre;M�lkesyre;Citronsyre;Oxalsyre;�blesyre;Eddikesyre;Propionsyre;Benzosyre;Sum organiske syrer;C4:0;C6:0;C8:0;C10:0;C12:0;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;C12:1,n-1;C14:1,n-5;C15:1,n-5;C16:1,n-7;C17:1,n-7;C18:1,n-7;C18:1,n-9;C18:1,n-12;C20:1,n-9;C20:1,n-11;C20:1,n-15;C22:1,n-9;C22:1,n-11;C24:1,n-9;C14:1,n-5,trans;C16:1,n-7,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,n-6;C18:2,konjugeret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:3,n-3;C20:3,n-6;C20:4,n-3;C20:4,n-6;C20:5,n-3;C22:2,n-6;C22:3,n-3;C22:4,n-6;C22:5,n-3;C22:5,n-6;C22:6,n-3;C18:2,trans;Andre fedtsyrer;Sum m�ttede fedtsyrer;Sum enkeltum�ttede fedtsyrer;Sum flerum�ttede fedtsyrer;Sum transfedtsyrer;Sum fedtsyrer under detektionsgr�nsen;Sum fedtsyrer;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Kolesterol;Nitrogen;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;Hydroxyprolin;Ornitin;Histamin;Serotonin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Sum biogene aminer;Svind;Nitrogen-til-protein faktor;Fedtsyrekonverteringsfaktor;Massefylde
;;?ParameterName;Energy (kJ);Energy (kcal);Protein;Protein from Amino Acids;Protein, labeling;Carbohydrate by difference;Available carbohydrates;Available carbohydrate, labelling;Dietary fibre;Fat;Alcohol;Salt labelling;Ash;Dry matter;Water;Vitamin A;Retinol;beta-Carotene;Vitamin D;Vitamin D3;Vitamin D2;25-hydroxy vitamin D3 ;25-hydroxy Vitamin D2;Vitamin E;alpha-Tocopherol;beta-Tocopherol;gamma-Tocopherol;delta-Tocopherol;alpha-Tocotrienol;Vitamin K1;Thiamin (Vitamin B1);Thiamine;2-(1-hydroxyethyl)thiamine;Riboflavin (Vitamin B2);Niacin equivalent;Niacin;Vitamin B6;Pantothenic acid;Biotin;Folate;Folate, free;Vitamin B12;Vitamin C;Ascorbic acid;Dehydroascorbic acid;Sodium;Potassium;Calcium;Magnesium;Rubidium;Iron;Copper;Zinc;Manganese;Chromium;Molybdenum;Cobalt;Selenium;Aluminum;Silicon;Boron;Phosphorus;Fluorine;Chloride;Bromine;Iodine;Sulfur;Nickel;Mercury;Arsenic;Cadmium;Lead;Tin;Fructose;Galactose;Glucose;Sum monosaccharides;Lactose;Maltose;Sucrose;Sum disaccharides;Maltotriose;Raffinose;Sum sugars;Added Sugar;Free Sugars;Sorbitol;Mannitol;Inositol;Maltitol;Sum sugar alcohols;Starch;Cellulose;Lignin;Insoluble dietary fibers;High molecular weight soluble dietary fibre ;Low molecular weight soluble dietary fibre ;Crude fibre;Neutral detergent fibre;L-lactic acid;D-lactic acid;Lactic acid;Citric acid;Oxalic acid;Malic acid;Acetic acid;Propionic acid;Benzoic acid;Sum organic acids;C4:0;C6:0;C8:0;C10:0;C12:0;C13:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C21:0;C22:0;C23:0;C24:0;C12:1,n-1;C14:1,n-5;C15:1,n-5;C16:1,n-7;C17:1,n-7;C18:1,n-7;C18:1,n-9;C18:1,n-12;C20:1,n-9;C20:1,n-11;C20:1,n-15;C22:1,n-9;C22:1,n-11;C24:1,n-9;C14:1,n-5,trans;C16:1,n-7,trans;C18:1,trans;C20:1,trans;C22:1,trans;C18:2,n-6;C18:2,conjugated;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:3,n-3;C20:3,n-6;C20:4,n-3;C20:4,n-6;C20:5,n-3;C22:2,n-6;C22:3,n-3;C22:4,n-6;C22:5,n-3;C22:5,n-6;C22:6,n-3;C18:2,trans;Other fatty acids;Sum saturated fatty acids;Sum monounsaturated fatty acids;Sum polyunsaturated fatty acids;Sum trans fatty acids;Sum fatty acids below the detection limit;Sum fatty acids;Sum n-3 fatty acids;Sum n-6 fatty acids;esterol;Nitrogen;Isoleucine;Leucine;Lysine;Methionine;Cystine;Phenylalanine;Tyrosine;Threonine;Tryptophan;Valine;Arginine;Histidine;Alanine;Aspartic acid;Glutamic acid;Glycine;Proline;Serine;Hydroxyproline;Ornithine;Histamine;Serotonin;Tyramine;Phenylethylamine;Putrescine;Cadaverine;Spermine;Spermidine;Sum biogenic amines;Waste;Nitrogen conversion factor;Fatty acid conversion factor;Density
;;?Unit;kJ/100g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (�g/100g);�g/100g;�g/100g;�g/100g;�g/100g;�g/100g;�g/100g;�g/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;�g/100g;mg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;�g/100g;�g/100g;�g/100g;�g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;�g/100g;mg/100g;mg/100g;mg/100g;mg/100g;�g/100g;�g/100g;�g/100g;�g/100g;mg/100g;mg/100g;�g/100g;mg/100g;�g/100g;mg/100g;�g/100g;�g/100g;mg/100g;�g/100g;�g/100g;�g/100g;�g/100g;�g/100g;�g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;mg/100g;g/100g;mg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml
?F�devareNavn;FoodName?;?FoodID/?ParameterID;137;356;218;421;317;170;172;318;168;141;19;327;33;265;268;12;225;303;126;128;127;11;354;135;276;279;286;282;277;164;37;36;157;39;203;294;40;210;42;143;145;38;47;175;177;201;165;108;184;227;162;166;274;187;117;190;120;230;20;234;44;214;142;114;46;163;253;204;174;32;107;43;260;146;148;149;191;179;185;228;18;186;222;245;417;418;237;188;160;343;244;243;112;181;414;415;416;123;202;178;125;192;119;209;302;136;217;41;208;103;104;105;48;49;50;51;56;58;63;65;77;409;89;413;100;401;52;57;59;64;66;67;425;347;78;424;92;90;101;53;60;70;79;93;71;72;74;75;76;80;82;85;349;86;87;410;426;411;98;412;99;73;24;248;247;251;261;427;340;249;250;115;300;161;180;183;189;124;211;264;258;262;266;31;159;17;34;150;153;216;231;400;423;158;232;263;212;221;106;239;238;422;252;219;140;363
Jordb�r, r�;Strawberry, raw;1;162;38;0,7;0,5;0,7;8,3;6,9;6,1;1,5;0,6;0,0;0,0012695;0,406153846;10,01333333;89,98666667;3,3;0,0;40;0,00;0,00;;;;0,41;0,41;;;;;20,0;0,015;;;0,01;0,57;0,43;0,05;0,13;0,7;117,0;15,0;0,00;66,9;64,8;2,1;0,5;178,6;18,5;12,5;;0,25;0,038;0,10;0,34;0,07;0,0;;0,18;;;;24;;;;0,1;;3,5;0,00;0,30;0,59;0,31;;3,16;;2,85;6,01;;;0,06;0,06;;;6,07;0,00;0,00;0,00;;;;0,00;0,00;0,59;0,39;;;;;;;;;;;;;;0,03;;;;;;;;;;0,05;;;;;;;;;;;;;;0,08;;;;;;;;;;;;;0,18;;0,17;;;;;;;0,00;;;;;;;;;;0,05;0,08;0,35;;;0,48;0,17;0,18;0,0;0,11;24;39;35;10;4;22;11;22;8;29;40;12;31;96;90;25;23;30;;;0,01;0,00;0,00;;;;;;0,01;3,9;6,25;0,80;
�ble, uspec., r�t;Apple, raw, all varieties;2;233;55;0,3;0,2;0,3;14,3;12,1;11,3;2,2;0,2;0,0;0,001503;0,311481481;15,07066667;84,92933333;2,1;0,0;25;0,00;0,00;;;;0,25;0,25;;;;;3,0;0,013;;;0,01;0,17;0,12;0,05;0,07;1,0;9,0;3,0;0,00;8,3;7,8;0,5;0,6;117,9;4,1;4,5;;0,12;0,031;0,02;0,06;0,11;0,0;;0,01;;;;10;;;;0,1;;0,5;0,00;0,03;0,02;0,15;;6,05;;1,76;7,80;0,00;0,00;3,09;3,09;;;10,89;0,00;0,00;0,44;;;;0,44;0,00;0,76;0,00;;;;;;;;;;;;;;0,03;;;;;;;;;;0,04;;0,01;;;;;;;;;;;;0,01;;;;;;;;;;;;;0,10;;0,03;;;;;;;0,00;;;;;;;;;;0,04;0,01;0,13;;;0,18;0,03;0,10;0,0;0,04;9;14;13;3;1;7;4;8;3;10;6;4;11;78;22;8;8;11;;;0,01;0,00;0,00;;;;0,22;9,86;10,10;9,7;6,25;0,80;
Banan, r�;Banana, raw;3;396;93;1,1;0,7;1,1;22,6;21,0;19,7;1,6;0,2;0,0;0;0,716;24,65;75,35;4,4;0,0;53;0,00;0,00;;;;0,27;0,27;;;;;0,5;0,040;;;0,01;0,77;0,60;0,31;0,26;1,6;38,0;12,0;0,00;11,2;8,1;3,1;0,0;348,1;6,6;28,1;;0,25;0,106;0,17;0,46;0,00;;;0,35;;;;26;;;;0,0;;4,1;0,01;0,02;0,01;0,08;;7,01;0,00;6,93;13,93;0,00;0,01;1,43;1,44;;;15,37;0,00;0,00;0,01;;;;0,01;4,33;0,37;0,27;;;;;;;;;;;;;;0,03;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,07;0,00;0,01;0,00;;0,00;;0,00;;0,00;;0,01;;0,00;0,03;;;0,00;;0,00;0,00;0,00;;;;;;0,03;;0,00;;0,00;0,00;0,00;0,00;;;0,00;;;;0,00;;0,00;;0,00;0,08;0,04;0,03;;;0,15;0,00;0,03;0,0;0,18;35;89;51;10;3;35;20;33;10;53;49;84;35;117;106;37;38;53;;;0,01;1,50;0,21;;;;;;;40,7;6,25;0,73;
Kartoffel, uspec., r�;Potato, raw;4;326;77;2,0;1,5;2,0;17,3;15,9;17,9;1,4;0,3;0,0;0,0175;0,878378378;20,49420561;79,50579439;0,8;0,0;10;0,00;0,00;;;;0,10;0,10;;;;;16,0;0,055;;;0,06;2,11;1,60;0,20;0,38;0,5;36,0;10,0;0,00;26,4;23,4;3,0;7,0;413,5;6,8;20,4;;1,04;0,052;0,30;0,23;0,60;0,0;;0,27;;;;55;;;;1,2;;5,8;0,28;1,39;2,07;0,81;;0,24;;0,34;0,58;0,00;0,00;0,66;0,66;;0,06;1,24;0,00;0,00;;;;;;16,65;0,89;0,00;;;;;;;;;;;;;;0,03;;;;;;;;;;0,05;;0,01;;;;;;;;;0,00;;;0,01;;;;;;;;;;;;;0,07;;0,09;;;;;;;;;;;;;;;;;0,06;0,01;0,16;;;0,23;0,09;0,07;0,0;0,32;75;110;117;28;17;81;39;68;31;120;84;36;71;428;269;58;71;71;;;;0,00;0,10;;;;;;;25,2;6,25;0,80;
Hindb�r, r�;Raspberry, raw;5;215;51;1,4;;1,4;10,6;6,2;4,1;4,4;1,4;0,0;0,005;0,469230769;13,83333333;86,16666667;3,5;0,0;42;0,00;0,00;;;;1,40;1,40;;;;;;0,030;;;0,05;0,75;0,50;0,09;0,24;1,9;44,0;15,0;0,00;24,0;24,0;;2,0;228,0;19,7;17,0;;0,55;0,105;0,34;1,20;0,80;0,0;;0,19;;;;38;;;;0,4;;17,9;0,03;0,41;1,12;0,80;;2,15;;1,85;4,00;;0,00;0,05;0,05;;;4,05;0,00;0,00;0,00;;;;0,00;0,00;2,00;2,67;;;;;;;;;;;;;;2,50;;;;;;;;;;0,09;;0,02;;;;;;;;;;;;0,10;;;;;;;;;;;;;0,47;;0,40;;;;;;;;;;;;;;;;;0,10;0,10;0,87;;;1,08;0,40;0,47;0,0;0,22;;;;;;;;;15;;;;;;;;;;;;;0,00;4,82;;;;;;;0,0;6,25;0,80;
S�dm�lk, konventionel (ikke-�kologisk);Milk, whole, konventional (not organic), 3.5 % fat;6;264;63;3,4;3,1;3,4;4,6;4,6;4,6;0,0;3,5;0,0;0,110821918;0,75509589;12,25479452;87,74520548;31,7;30,4;16;0,02;0,01;0,00;0,01;0,00;0,06;0,06;;;;;0,0;0,041;;;0,17;0,86;0,09;0,05;0,36;1,6;11,0;4,0;0,45;1,2;1,2;;44,3;144,4;115,8;11,0;;0,02;0,011;0,41;0,00;0,05;5,0;;1,64;;;;93;;93;;10,7;;0,7;0,03;0,30;0,00;0,09;;0,00;0,00;0,00;0,00;4,60;0,00;0,00;4,60;;;4,60;0,00;0,00;;;;;;0,00;0,00;0,00;;;;;;;;;0,19;;;;;0,05;0,19;0,13;0,09;0,05;0,10;0,13;;0,37;0,04;1,00;;0,35;;;;;;;0,03;;0,05;;0,03;0,66;;;;;;;;;;0,11;;;0,05;0,01;0,01;;;;;;;;;;;;;;;0,02;0,05;2,25;0,78;0,07;0,13;;3,28;0,01;0,05;13,3;0,54;198;327;306;86;26;172;145;145;46;236;118;97;113;279;681;70;333;193;;;0,01;0,03;0,00;;;;;;0,04;0,0;6,38;0,95;1,03
Persille, r�;Parsley, raw;8;201;48;3,7;2,7;3,7;7,8;3,7;1,2;4,1;1,2;0,0;0,16;2,1375;14,76666667;85,23333333;474,2;0,0;5690;0,00;0,00;;;;2,70;2,70;;;;;790,0;0,120;;;0,30;2,64;1,70;0,20;0,30;0,4;116,0;41,0;0,00;308,0;308,0;;64,0;641,0;184,5;29,0;;3,60;0,090;0,46;2,70;7,00;10,0;;0,10;;;;72;;;;13,5;;50,0;1,50;3,00;3,00;19,00;;0,30;;0,50;0,80;0,00;0,00;0,00;0,00;;;0,80;0,00;0,00;;;;;;0,43;1,63;0,59;;;;;;;;;;;;;;;;;;;;;;;;0,16;;0,01;;;;;;;;;0,03;;;;;;;;;;;;;;;;0,27;;0,46;;;;;;;;;;;;;;;;;0,16;0,03;0,73;;;0,92;0,46;0,27;0,0;0,59;149;255;226;52;18;178;101;154;56;214;154;77;244;368;309;178;267;172;;;;;;;;;;;;34,0;6,25;0,80;
